교과목,교육과정,교육주차,강사강의 만족도,순위
강의 스킬,제1기 강사양성 과정,2024년 4월 4주차,5,1위
강의 시연 및 피드백,제1기 강사양성 과정,2024년 4월 4주차,5,1위
교육기획 및 강의 설계,제1기 강사양성 과정,2024년 4월 4주차,5,1위
전달력 스킬,제1기 강사양성 과정,2024년 4월 4주차,5,1위
마음열기,제4기 소통과 공감 과정,2024년 7월 3주차,5,1위
우리 함께 어울림,제4기 소통과 공감 과정,2024년 7월 3주차,5,1위
우리조직은? 전사적 참견 시점,제4기 소통과 공감 과정,2024년 7월 3주차,5,1위
조직 내 세대차이 인정과 극복,제4기 소통과 공감 과정,2024년 7월 3주차,5,1위
비전만들기,제3기 과장급 필수 역량향상 과정,2024년 9월 2주차,4.9825,20위
면접기법 및 스킬(이론),제1기 면접관 양성 과정,2024년 7월 1주차,4.9775,21위
면접 질문 만들기,제1기 면접관 양성 과정,2024년 7월 1주차,4.9775,21위
면접관의 역할 및 자세,제1기 면접관 양성 과정,2024년 7월 1주차,4.9775,21위
면접관의 역할 및 자세(이론),제1기 면접관 양성 과정,2024년 7월 1주차,4.9775,21위
면접기법 및 스킬,제1기 면접관 양성 과정,2024년 7월 1주차,4.9775,21위
면접사례분석,제1기 면접관 양성 과정,2024년 7월 1주차,4.9775,21위
평가자 오류,제1기 면접관 양성 과정,2024년 7월 1주차,4.9775,21위
홍보 업무 능력 2배 향상시키기,제1기 업무용 오피스 활용 과정,2024년 3월 2주차,4.97,28위
의사소통 및 조직관리 코칭,제3기 과장급 필수 역량향상 과정,2024년 9월 2주차,4.965,29위
한글 초급2,제1기 한글 활용 과정,2024년 4월 2주차,4.96,30위
기본 보이스 트레이닝,제2기 명품 스피치 과정,2024년 11월 5주차,4.955,31위
신임팀장 비전 만들기,제3기 시·군 팀장 리더십 과정,2024년 4월 4주차,4.955,31위
마음열기,제6기 소통과 공감 과정,2024년 8월 5주차,4.955,31위
엑셀 고급 활용능력 향상,제1기 업무용 오피스 활용 과정,2024년 3월 2주차,4.9525,34위
홍보플랫폼 안내 및 우수사례,제2기 1인 방송과 영상제작 과정,2024년 11월 4주차,4.95,35위
한글 활용능력 2배 활용,제1기 업무용 오피스 활용 과정,2024년 3월 2주차,4.945,36위
화합의 장(조직진단),제10기 소통과 공감 과정,2024년 11월 5주차,4.941176471,37위
팀장의 보고 및 발표스킬,제3기 시·군 팀장 리더십 과정,2024년 4월 4주차,4.94,38위
갈등 해결 및 성과 창출 리더십,제3기 시·군 팀장 리더십 과정,2024년 4월 4주차,4.94,38위
홍보 기획 및 스토리 보드 작성,제2기 1인 방송과 영상제작 과정,2024년 11월 4주차,4.94,38위
홍보영상 제작2,제2기 1인 방송과 영상제작 과정,2024년 11월 4주차,4.94,38위
홍보영상 기초편집,제2기 1인 방송과 영상제작 과정,2024년 11월 4주차,4.94,38위
홍보영상 고급편집,제2기 1인 방송과 영상제작 과정,2024년 11월 4주차,4.94,38위
소통의 장(세대차이에 대한 인정과 소통),제2기 소통과 공감 과정,2024년 4월 4주차,4.94,38위
실천의 장(세대공감 및 실천방안 만들기),제2기 소통과 공감 과정,2024년 4월 4주차,4.94,38위
화합의 장(조직진단),제2기 소통과 공감 과정,2024년 4월 4주차,4.94,38위
협업의 장(조직 내 공동목표 선정),제6기 소통과 공감 과정,2024년 8월 5주차,4.94,38위
마음열기,제9기 소통과 공감 과정,2024년 10월 5주차,4.94,38위
우리 함께 어울림1,제9기 소통과 공감 과정,2024년 10월 5주차,4.94,38위
우리 함께 어울림2,제9기 소통과 공감 과정,2024년 10월 5주차,4.94,38위
우리조직은? 전사적 참견 시점,제9기 소통과 공감 과정,2024년 10월 5주차,4.94,38위
조직 내 세대차이 인정과 극복,제9기 소통과 공감 과정,2024년 10월 5주차,4.94,38위
소통을 위한 대화의 기술과 공감 기법,제1기 강사양성 과정,2024년 4월 4주차,4.94,53위
홍보영상 제작1,제2기 1인 방송과 영상제작 과정,2024년 11월 4주차,4.94,53위
업무능력 향상되는 스마트폰 활용,제1기 업무용 오피스 활용 과정,2024년 3월 2주차,4.9375,55위
엑셀 기본 활용능력 향상,제1기 업무용 오피스 활용 과정,2024년 3월 2주차,4.935,56위
보도자료 작성 및 언론인터뷰,제2기 홍보실무 과정,2024년 10월 3주차,4.93,57위
PPT 활용능력 향상,제1기 업무용 오피스 활용 과정,2024년 3월 2주차,4.93,57위
인문학 힐링 콘서트,제1기 스트레스 치유 과정,2024년 7월 1주차,4.93,57위
성별영향평가서 및 성인지예산서 작성 실습,제1기 성별영향평가 과정,2024년 4월 2주차,4.93,57위
마음열기,제10기 소통과 공감 과정,2024년 11월 5주차,4.926470588,61위
협업의 장(조직 내 공동목표 선정),제10기 소통과 공감 과정,2024년 11월 5주차,4.926470588,61위
목소리 진단 실습,제2기 명품 스피치 과정,2024년 11월 5주차,4.925,63위
화합의 장(조직진단),제6기 소통과 공감 과정,2024년 8월 5주차,4.925,63위
소통의 장(세대차이에 대한 인정과 소통),제6기 소통과 공감 과정,2024년 8월 5주차,4.925,63위
중국어,제21기 중견리더 과정,2024년 9월 1주차,4.92,66위
중국어,제21기 중견리더 과정,2024년 11월 2주차,4.92,66위
자체감사의 방향과 감사사례,제1기 감사업무 향상 과정,2024년 9월 3주차,4.915,68위
라탄공예,제21기 중견리더 과정,2024년 10월 4주차,4.915,69위
조직성과 창출을 위한 리더십,제3기 과장급 필수 역량향상 과정,2024년 9월 2주차,4.915,69위
감사공무원의 역할 및 마인드,제1기 감사업무 향상 과정,2024년 9월 3주차,4.915,69위
시설소개 및 승마 안전수칙,제2기 승마 과정,2024년 11월 2주차,4.915,69위
청렴 교육,제1기 과장급 필수 역량향상 과정,2024년 4월 1주차,4.915,69위
마음열기,제2기 소통과 공감 과정,2024년 4월 4주차,4.915,69위
협업의 장(조직 내 공동목표 선정),제2기 소통과 공감 과정,2024년 4월 4주차,4.915,69위
2024년 HRD* 트렌드 공유 및 토론,제1기 교육 담당자 역량향상 과정,2024년 2월 3주차,4.9125,76위
소통의 장(세대차이에 대한 인정과 소통),제10기 소통과 공감 과정,2024년 11월 5주차,4.911764706,77위
프리젠테이션과 보고 브리핑,제3기 시·군 팀장 역량향상 과정,2024년 11월 2주차,4.91,78위
중국어,제21기 중견리더 과정,2024년 11월 3주차,4.91,79위
실천의 장(세대공감 및 실천방안 만들기),제10기 소통과 공감 과정,2024년 11월 5주차,4.909926471,80위
"간단한 인사말, 자기소개법",제2기 명품 스피치 과정,2024년 11월 5주차,4.9075,81위
승마기초 이론,제2기 승마 과정,2024년 11월 2주차,4.9025,82위
라탄공예,제21기 중견리더 과정,2024년 11월 2주차,4.9,83위
애자일 조직에서 부서장의 역할,제3기 과장급 필수 역량향상 과정,2024년 9월 2주차,4.9,83위
신임팀장 비전만들기,제1기 시·군 팀장 리더십 과정,2024년 3월 1주차,4.9,83위
스마트폰 업무환경 최적화하기,제2기 스마트기기 활용 과정,2024년 6월 3주차,4.9,83위
마음열기,제6기 소통과 공감 과정,2024년 10월 2주차,4.9,83위
나의 강점 찾기 및 성장 마인드셋,제1기 코칭 리더십 과정,2024년 6월 3주차,4.9,83위
"마음을 여는 경청과 생각을 여는 질문, 피드백 스킬",제1기 코칭 리더십 과정,2024년 6월 3주차,4.9,83위
실행계획과 소감 공유,제1기 코칭 리더십 과정,2024년 6월 3주차,4.9,83위
촉진 스킬 이해와 성과면담 실습,제1기 코칭 리더십 과정,2024년 6월 3주차,4.9,83위
코칭 대화하기(GROW 코칭),제1기 코칭 리더십 과정,2024년 6월 3주차,4.9,83위
"코칭 대화하기(상황별 코칭, 1:1 코칭)",제1기 코칭 리더십 과정,2024년 6월 3주차,4.9,83위
코칭의 이해 및 효과,제1기 코칭 리더십 과정,2024년 6월 3주차,4.9,83위
중국어,제21기 중견리더 과정,2024년 8월 5주차,4.8975,95위
중국어,제21기 중견리더 과정,2024년 10월 4주차,4.8975,95위
라탄공예,제21기 중견리더 과정,2024년 9월 1주차,4.895,97위
드론을 활용한 촬영,제2기 드론 이해 및 행정 활용 과정,2024년 5월 5주차,4.895,97위
지리산 천왕봉 등산,제1기 지리산 천왕봉 힐링 과정,2024년 5월 2주차,4.895,97위
실천의 장(세대공감 및 실천방안 만들기),제6기 소통과 공감 과정,2024년 8월 5주차,4.895,97위
홍보 영상 게시 및 활용,제2기 1인 방송과 영상제작 과정,2024년 11월 4주차,4.8925,101위
외승로 체험,제1기 승마 과정,2024년 9월 4주차,4.89,102위
승마강습(평보 및 속보),제2기 승마 과정,2024년 11월 2주차,4.89,102위
승마강습(속보),제2기 승마 과정,2024년 11월 2주차,4.89,102위
외승로 체험,제2기 승마 과정,2024년 11월 2주차,4.89,102위
한글 중급1,제2기 한글 활용(중급) 과정,2024년 9월 3주차,4.89,102위
"계약제도, 입찰, 계약체결 등 계약운용요령",제1기 계약실무 과정,2024년 3월 2주차,4.89,102위
클라우드 서비스를 활용한 데이터 관리,제1기 스마트기기 활용 과정,2024년 4월 3주차,4.89,102위
chat GPT 업무 활용,제2기 스마트기기 활용 과정,2024년 6월 3주차,4.89,102위
크롬을 이용한 인터넷 정보 수집,제2기 스마트기기 활용 과정,2024년 6월 3주차,4.89,102위
우주항공산업과 경남의 미래,제1기 과장급 필수 역량향상 과정,2024년 4월 1주차,4.8875,111위
엑셀실무 스킬 UP,제3기 7·8급 승진자 역량향상 과정,2024년 6월 4주차,4.885,112위
아로마 테라피,제1기 스트레스 치유 과정,2024년 7월 1주차,4.8825,113위
chat GPT 업무 활용,제1기 스마트기기 활용 과정,2024년 4월 3주차,4.8825,114위
라탄공예,제21기 중견리더 과정,2024년 8월 4주차,4.88,115위
업무능력 향상되는 스마트폰 활용,제4기 업무용 오피스 활용 과정,2024년 10월 3주차,4.88,115위
형법 총칙개요,제1기 특별사법경찰 실무 과정,2024년 2월 4주차,4.88,115위
자료찾기 및 공유 앱 활용,제2기 스마트기기 활용 과정,2024년 6월 3주차,4.88,115위
저작권 문제없는 콘텐츠 활용,제2기 스마트기기 활용 과정,2024년 6월 3주차,4.88,115위
클라우드 서비스를 활용한 데이터 관리,제2기 스마트기기 활용 과정,2024년 6월 3주차,4.88,115위
드론 기본 조작 및 원리 이해,제2기 드론 이해 및 행정 활용 과정,2024년 5월 5주차,4.88,115위
조종실습2,제2기 드론 이해 및 행정 활용 과정,2024년 5월 5주차,4.88,115위
지리산 천왕봉 등산,제1기 지리산 천왕봉 힐링 과정,2024년 5월 2주차,4.8775,123위
언론매체 인터뷰 실습,제2기 명품 스피치 과정,2024년 11월 5주차,4.8775,123위
신뢰감을 주는 스피치 기법,제2기 명품 스피치 과정,2024년 11월 5주차,4.875,125위
승하마 및 평보,제2기 승마 과정,2024년 11월 2주차,4.875,125위
승마강습(평보),제2기 승마 과정,2024년 11월 2주차,4.875,125위
2024년 교육훈련 및 교육운영 업무 안내,제1기 교육 담당자 역량향상 과정,2024년 2월 3주차,4.875,125위
우리 함께 어울림1,제6기 소통과 공감 과정,2024년 10월 2주차,4.875,125위
의사소통 및 조직관리 코칭,제1기 과장급 필수 역량향상 과정,2024년 4월 1주차,4.8725,130위
리더들의 공감대 형성,제3기 과장급 필수 역량향상 과정,2024년 9월 2주차,4.87,131위
한글 실무,제6기 신규공무원 역량향상 심화 과정,2024년 9월 4주차,4.87,131위
홍보 업무 능력 2배 향상시키기,제4기 업무용 오피스 활용 과정,2024년 10월 3주차,4.87,131위
팀장의 역할 공감,제3기 시·군 팀장 리더십 과정,2024년 4월 4주차,4.87,131위
업무효율을 높이는 윈도우 활용 기능,제2기 스마트기기 활용 과정,2024년 6월 3주차,4.87,135위
성인지 업무 담당자를 위한 성인지 교육,제1기 성별영향평가 과정,2024년 4월 2주차,4.865,136위
엑셀 기본 활용능력 향상,제2기 업무용 오피스 활용 과정,2024년 5월 1주차,4.865,136위
한글 중급2,제2기 한글 활용(중급) 과정,2024년 9월 3주차,4.865,136위
산림휴양문화시설 조성 및 운영,제1기 산림정책 실무 과정,2024년 7월 3주차,4.865,136위
드론 관련 법규 및 행정접목 사례,제2기 드론 이해 및 행정 활용 과정,2024년 5월 5주차,4.865,136위
대화와 소통(커뮤니케이션 스킬),제2기 행사실무 과정,2024년 8월 5주차,4.8625,141위
소통을 위한 대화기술 및 공감기법,제1기 경남 일자리 과정,2024년 7월 2주차,4.86,142위
[모의과제 실습] 구두발표,제1기 시·군 팀장 역량향상 과정,2024년 4월 3주차,4.86,142위
역할 수행 및 토론,제1기 시·군 팀장 역량향상 과정,2024년 4월 3주차,4.86,142위
[모의과제 실습] 집단토론,제1기 시·군 팀장 역량향상 과정,2024년 4월 3주차,4.86,142위
크롬을 이용한 인터넷 정보 수집,제1기 스마트기기 활용 과정,2024년 4월 3주차,4.86,142위
계약 법령체계 및 유형,제1기 계약실무 과정,2024년 3월 2주차,4.86,147위
동영상 편집 앱을 이용한 영상 편집,제2기 스마트기기 활용 과정,2024년 6월 3주차,4.86,147위
교육운영 실무 사례 공유,제1기 교육 담당자 역량향상 과정,2024년 2월 3주차,4.86,147위
자기개발계획서 작성 및 팀장의 비전,제1기 시·군 팀장 역량향상 과정,2024년 4월 3주차,4.859,150위
한글 초급1,제1기 한글 활용 과정,2024년 4월 2주차,4.8575,151위
동영상 편집 앱을 이용한 영상 편집,제1기 스마트기기 활용 과정,2024년 4월 3주차,4.855,152위
소통을 위한 대화기술 및 공감기법,제2기 경남 일자리 과정,2024년 10월 2주차,4.855,152위
라탄공예,제21기 중견리더 과정,2024년 6월 3주차,4.8525,154위
라탄공예,제21기 중견리더 과정,2024년 8월 3주차,4.8525,154위
특별사법경찰 수사실무 우수사례,제1기 특별사법경찰 실무 과정,2024년 2월 4주차,4.8525,154위
중국어,제21기 중견리더 과정,2024년 9월 2주차,4.85,157위
