교과목,교육과정,교육주차,강사강의 만족도,순위
김해형 탄소중립 사업방향,제1기 기후위기 적응 대응 과정,2024년 6월 3주차,4.7125,424위
행사준비,제1기 행사실무 과정,2024년 4월 1주차,4.7125,424위
행정학,제21기 중견리더 과정,2024년 3월 1주차,4.7125,424위
통계포털 이용 및 직무적용,제2기 7·8급 승진자 역량향상  과정,2024년 4월 3주차,4.7125,424위
명품바디만들기,제21기 중견리더 과정,2024년 7월 3주차,4.7125,424위
보도자료 작성,제3기 신규공무원 역량향상 심화 과정,2024년 5월 2주차,4.7125,432위
한글 실무,제3기 신규공무원 역량향상 심화 과정,2024년 5월 2주차,4.7125,432위
챗GPT 활용 역량 향상,제2기 4차 산업혁명과 AI 활용 과정,2024년 9월 4주차,4.71,434위
중국어,제21기 중견리더 과정,2024년 4월 4주차,4.71,435위
중국어,제21기 중견리더 과정,2024년 5월 2주차,4.71,435위
중국어,제21기 중견리더 과정,2024년 6월 2주차,4.71,435위
공공언어 개념과 특성 이해,제1기 공공언어 바르게 쓰기 과정,2024년 7월 2주차,4.71,435위
경남 일자리 발굴 및 실천 방안,제1기 경남 일자리 과정,2024년 7월 2주차,4.71,435위
"금융소득 -이자소득, 배당소득-",제1기 지방세 실무 과정,2024년 2월 5주차,4.71,435위
소득공제와 세액공제,제1기 지방세 실무 과정,2024년 2월 5주차,4.71,435위
연금소득,제1기 지방세 실무 과정,2024년 2월 5주차,4.71,435위
퇴직소득세,제1기 지방세 실무 과정,2024년 2월 5주차,4.71,435위
독도를 통한 올바른 역사인식,제8기 신규임용(후보)자 과정,2024년 10월 1주차,4.71,435위
